ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
4976,t38490,2,TRUE,FALSE,art,00-Jan-00,1,brt squeal,,,FALSE,,scan--no apparent reason -lions are present
4977,t38490,2,TRUE,FALSE,adon,00-Jan-00,1,whoop,,,FALSE,,scan
4978,t38490,2,TRUE,FALSE,csn,00-Jan-00,1,whoop,,,FALSE,,scan
4979,t38490,2,TRUE,FALSE,ali,00-Jan-00,1,whoop,,,FALSE,,scan
4980,t38490,2,TRUE,FALSE,ldv,00-Jan-00,1,scan,,10,FALSE,,
4981,t38490,2,TRUE,FALSE,ali,00-Jan-00,1,scan,,10,FALSE,,
4982,t38490,2,TRUE,FALSE,adon,00-Jan-00,1,scan,,10,FALSE,,
4983,t38490,2,TRUE,FALSE,csn,00-Jan-00,1,scan,,10,FALSE,,
4984,t38490,2,TRUE,FALSE,foz,00-Jan-00,1,scan,,12,FALSE,,
4985,t38490,2,TRUE,FALSE,art,00-Jan-00,1,scan,,20,FALSE,,
4986,t38490,2,TRUE,FALSE,ade,00-Jan-00,1,scan,,50,FALSE,,
4987,t38490,2,TRUE,FALSE,yog,00-Jan-00,1,scan,,30,FALSE,,
4988,t38490,2,TRUE,FALSE,wrl,00-Jan-00,1,brt squeal,,20,FALSE,,
4989,t38490,2,TRUE,FALSE,bail,00-Jan-00,1,scan,,120,FALSE,,
4990,t38490,2,TRUE,FALSE,nick,00-Jan-00,1,scan,,120,FALSE,,
4991,t38490,2,TRUE,FALSE,ade,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4992,t38490,2,TRUE,FALSE,ali,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4993,t38490,2,TRUE,FALSE,art,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4994,t38490,2,TRUE,FALSE,bail,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4995,t38490,2,TRUE,FALSE,bca,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4996,t38490,2,TRUE,FALSE,csn,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4997,t38490,2,TRUE,FALSE,foz,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4998,t38490,2,TRUE,FALSE,kdy,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
4999,t38490,2,TRUE,FALSE,ldv,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5000,t38490,2,TRUE,FALSE,mali,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5001,t38490,2,TRUE,FALSE,mp,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5002,t38490,2,TRUE,FALSE,nick,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
5003,t38490,2,TRUE,FALSE,wrl,00-Jan-00,1,mob,lion,<50,FALSE,,whoop rush twd lioness
